Step,rho_g,rho_p,id,p,deltaG,deltaP
1,2.04348,2.04348,1986,1986,329,329
2,1.69481,1.67532,758,3044,87,86
3,2.91045,2.86567,937,2530,65,64
1,2.04348,0.559006,1986,2530,329,90
2,1.69481,1.67532,758,3044,87,86
3,3,3,2530,2530,68,68
1,2.04348,2.04348,1986,1986,329,329
2,1.69481,1.42208,758,2530,87,73
3,2.91045,2.37313,937,3044,65,53
1,2.04348,1.96894,1986,3044,329,317
2,1.75301,1.77108,5279,1986,97,98
3,2.82609,2.21739,6452,1986,65,51
1,2.04348,0.559006,1986,2530,329,90
2,2.27481,2.27481,3044,3044,298,298
3,2.84211,3,5279,1986,90,95
1,2.04348,2.04348,1986,1986,329,329
2,1.69481,1.67532,758,3044,87,86
3,2.91045,2.37313,937,3044,65,53
1,2.04348,2.04348,1986,1986,329,329
2,1.69481,1.67532,758,3044,87,86
3,3,3,2530,2530,68,68
1,2.04348,1.96894,1986,3044,329,317
2,1.75301,1.77108,5279,1986,97,98
3,3,3,2530,2530,68,68
1,2.04348,2.04348,1986,1986,329,329
2,1.69481,1.42208,758,2530,87,73
3,3,3,3044,3044,81,81
1,2.04348,0.559006,1986,2530,329,90
2,2.27481,2.38168,3044,1986,298,312
3,2.92593,3,5279,3044,79,81
1,2.04348,1.96894,1986,3044,329,317
2,1.75301,1.77108,5279,1986,97,98
3,2.82609,2.21739,6452,1986,65,51
1,2.04348,1.96894,1986,3044,329,317
2,1.69481,1.67532,758,3044,87,86
3,3,3,2530,2530,68,68
1,2.04348,2.04348,1986,1986,329,329
2,1.69481,1.42208,758,2530,87,73
3,3,3,3044,3044,81,81
1,2.04348,1.96894,1986,3044,329,317
2,1.69481,1.42208,758,2530,87,73
3,2.91045,2.37313,937,3044,65,53
1,2.04348,0.559006,1986,2530,329,90
2,1.69481,1.67532,758,3044,87,86
3,3,3,2530,2530,68,68
1,2.04348,2.04348,1986,1986,329,329
2,1.69481,1.67532,758,3044,87,86
3,2.91045,2.86567,937,2530,65,64
1,2.04348,2.04348,1986,1986,329,329
2,1.69481,1.67532,758,3044,87,86
3,3,3,2530,2530,68,68
Step,rho_g,rho_p,id,p,deltaG,deltaP
1,2.42804,0.664207,1986,2530,329,90
2,1.6338,1.57746,758,5279,87,84
3,2.06349,2.06349,937,937,65,65
4,3.80328,2.09836,2530,5279,58,32
1,2.42804,0.664207,1986,2530,329,90
2,1.6338,1.37089,758,2530,87,73
3,2.31429,2.25714,3044,5279,81,79
4,3.86441,3.05085,5996,5279,57,45
1,2.42804,0.664207,1986,2530,329,90
2,1.6338,1.31455,758,937,87,70
3,2.29371,2.29371,5279,5279,82,82
4,4,4,2530,2530,61,61
1,2.42804,0.664207,1986,937,329,90
2,1.6338,1.57746,758,5279,87,84
3,2.06349,2.03175,937,2530,65,64
4,3.74194,2.06452,5996,5279,58,32
1,2.42804,0.664207,1986,2530,329,90
2,1.6338,1.57746,758,5279,87,84
3,2.06349,2.06349,937,937,65,65
4,3.80328,2.09836,2530,5279,58,32
1,2.42804,2.42804,1986,1986,329,329
2,1.6338,1.37089,758,2530,87,73
3,2.06349,1.04762,937,5279,65,33
4,3.80328,2.09836,2530,5279,58,32
1,2.42804,0.664207,1986,937,329,90
2,1.6338,1.57746,758,5279,87,84
3,2.10853,2.10853,2530,937,68,68
4,3.54098,4,1126,2530,54,61
1,2.42804,2.42804,1986,1986,329,329
2,1.6338,1.37089,758,2530,87,73
3,2.31429,2.25714,3044,5279,81,79
4,3.86441,3.86441,5996,937,57,57
1,2.42804,0.664207,1986,2530,329,90
2,1.6338,1.31455,758,937,87,70
3,2.29371,1.84615,5279,2530,82,66
4,3.8961,4,3044,5279,75,77
1,2.42804,0.664207,1986,2530,329,90
2,1.6338,1.57746,758,5279,87,84
3,2.10853,2.10853,2530,2530,68,68
4,4,4,937,937,61,61
1,2.42804,2.42804,1986,1986,329,329
2,1.6338,1.57746,758,5279,87,84
3,2.06349,2.06349,937,937,65,65
4,3.80328,3.80328,2530,2530,58,58
1,2.42804,0.664207,1986,937,329,90
2,1.6338,1.57746,758,5279,87,84
3,2.10853,2.10853,2530,937,68,68
4,4,4,937,937,61,61
1,2.42804,2.42804,1986,1986,329,329
2,1.6338,1.57746,758,5279,87,84
3,2.10853,2.10853,2530,2530,68,68
4,4,4,937,937,61,61
1,2.42804,0.664207,1986,2530,329,90
2,2.63717,0.734513,3044,937,298,83
3,2.33766,1.71429,5279,937,90,66
4,3.6875,3.625,6452,937,59,58
1,2.42804,0.664207,1986,2530,329,90
2,1.6338,1.31455,758,937,87,70
3,2.06349,2.03175,937,2530,65,64
4,3.74194,2.06452,5996,5279,58,32
1,2.42804,0.664207,1986,2530,329,90
2,2.63717,2.34513,3044,5279,298,265
3,2.33766,2.46753,5279,1986,90,95
4,3.86441,3.86441,5996,937,57,57
1,2.42804,2.42804,1986,1986,329,329
2,1.6338,1.37089,758,2530,87,73
3,2.06349,2.06349,937,937,65,65
4,3.80328,2.09836,2530,5279,58,32
1,2.42804,2.05166,1986,5279,329,278
2,1.6338,1.57746,758,5279,87,84
3,2.10853,2.10853,2530,2530,68,68
4,4,4,937,937,61,61
1,2.42804,0.664207,1986,937,329,90
2,1.6338,1.37089,758,2530,87,73
3,2.06349,2.03175,937,2530,65,64
4,3.74194,2.06452,5996,5279,58,32
1,2.42804,0.664207,1986,2530,329,90
2,1.6338,1.31455,758,937,87,70
3,2.06349,2.03175,937,2530,65,64
4,3.74194,3.80645,5996,937,58,59
1,2.42804,2.05166,1986,5279,329,278
2,2.06061,1.13636,3044,937,136,75
3,2.03125,2,6452,2530,65,64
4,4,3.55556,1126,937,63,56
1,2.42804,2.05166,1986,5279,329,278
2,1.6338,1.31455,758,937,87,70
3,2.29371,1.84615,5279,2530,82,66
4,3.8961,4,3044,5279,75,77
1,2.42804,2.05166,1986,5279,329,278
2,2.06061,1.13636,3044,937,136,75
3,2.03125,2,6452,2530,65,64
4,4,3.55556,1126,937,63,56
1,2.42804,2.05166,1986,5279,329,278
2,1.6338,1.57746,758,5279,87,84
3,2.10853,2.10853,2530,2530,68,68
4,4,4,937,937,61,61
1,2.42804,0.664207,1986,2530,329,90
2,2.63717,0.734513,3044,937,298,83
3,2.33766,1.71429,5279,937,90,66
4,3.6875,3.625,6452,937,59,58
1,2.42804,2.05166,1986,5279,329,278
2,1.6338,1.37089,758,2530,87,73
3,2.06349,2.06349,937,937,65,65
4,3.80328,2.09836,2530,5279,58,32
1,2.42804,2.42804,1986,1986,329,329
2,1.6338,1.57746,758,5279,87,84
3,2.10853,2.10853,2530,2530,68,68
4,4,4,937,937,61,61
1,2.42804,0.664207,1986,2530,329,90
2,1.6338,1.37089,758,2530,87,73
3,2.31429,1.8,3044,937,81,63
4,3.86441,3.86441,5996,937,57,57
1,2.42804,0.664207,1986,937,329,90
2,1.6338,1.57746,758,5279,87,84
3,2.10853,2.10853,2530,2530,68,68
4,4,4,937,937,61,61
1,2.42804,0.664207,1986,937,329,90
2,2.65487,0.734513,3044,2530,300,83
3,2.95935,3.16531,7462,1986,273,292
4,3.70833,3.58333,5279,1986,89,86
1,2.42804,2.42804,1986,1986,329,329
2,1.6338,1.37089,758,2530,87,73
3,2.06349,2.03175,937,2530,65,64
4,3.74194,3.80645,5996,937,58,59
1,2.42804,0.664207,1986,2530,329,90
2,1.6338,1.31455,758,937,87,70
3,2.06349,2.06349,937,937,65,65
4,3.80328,3.80328,2530,2530,58,58
1,2.42804,0.664207,1986,2530,329,90
2,1.6338,1.37089,758,2530,87,73
3,2.31429,1.8,3044,937,81,63
4,4,4,5279,5279,77,77
1,2.42804,0.664207,1986,2530,329,90
2,2.63717,0.734513,3044,937,298,83
3,2.33766,2.46753,5279,1986,90,95
4,3.86441,3.05085,5996,5279,57,45
1,2.42804,0.664207,1986,937,329,90
2,1.6338,1.31455,758,937,87,70
3,2.06349,1.04762,937,5279,65,33
4,3.80328,2.09836,2530,5279,58,32
1,2.42804,2.42804,1986,1986,329,329
2,1.6338,1.57746,758,5279,87,84
3,2.10853,2.10853,2530,2530,68,68
4,4,4,937,937,61,61
1,2.42804,2.05166,1986,5279,329,278
2,1.6338,1.31455,758,937,87,70
3,2.06349,1.04762,937,5279,65,33
4,3.80328,3.80328,2530,2530,58,58
1,2.42804,0.664207,1986,2530,329,90
2,1.6338,1.37089,758,2530,87,73
3,2.06349,1.04762,937,5279,65,33
4,3.80328,2.09836,2530,5279,58,32
1,2.42804,0.664207,1986,937,329,90
2,1.6338,1.57746,758,5279,87,84
3,2.06349,2.03175,937,2530,65,64
4,3.74194,3.80645,5996,937,58,59
1,2.42804,2.42804,1986,1986,329,329
2,1.6338,1.57746,758,5279,87,84
3,2.10853,2.10853,2530,937,68,68
4,4,4,937,937,61,61
1,2.42804,2.42804,1986,1986,329,329
2,1.6338,1.57746,758,5279,87,84
3,2.06349,2.06349,937,937,65,65
4,3.80328,2.09836,2530,5279,58,32
1,2.42804,0.664207,1986,2530,329,90
2,1.6338,1.57746,758,5279,87,84
3,2.06349,2.03175,937,2530,65,64
4,3.74194,2.06452,5996,5279,58,32
1,2.42804,2.05166,1986,5279,329,278
2,2.06061,2.04545,3044,1986,136,135
3,2.10853,2.10853,2530,2530,68,68
4,4,4,937,937,61,61
1,2.42804,2.05166,1986,5279,329,278
2,2.06061,2.04545,3044,1986,136,135
3,2.03125,2,6452,2530,65,64
4,4,3.55556,1126,937,63,56
1,2.42804,0.664207,1986,937,329,90
2,2.65487,2.73451,3044,1986,300,309
3,2.34211,2.34211,5279,5279,89,89
4,3.61905,3.61905,2530,2530,57,57
1,2.42804,2.42804,1986,1986,329,329
2,1.6338,1.37089,758,2530,87,73
3,2.06349,2.06349,937,937,65,65
4,3.80328,3.80328,2530,2530,58,58
1,2.42804,0.664207,1986,937,329,90
2,1.6338,1.31455,758,937,87,70
3,2.29371,1.84615,5279,2530,82,66
4,3.8961,4,3044,5279,75,77
1,2.42804,2.05166,1986,5279,329,278
2,2.06061,1.16667,3044,2530,136,77
3,2.03125,1.59375,6452,1986,65,51
4,4,2.60317,1126,1986,63,41
1,2.42804,2.42804,1986,1986,329,329
2,1.6338,1.31455,758,937,87,70
3,2.29371,1.84615,5279,2530,82,66
4,3.8961,4,3044,5279,75,77
1,2.42804,0.664207,1986,937,329,90
2,1.6338,1.57746,758,5279,87,84
3,2.10853,2.10853,2530,937,68,68
4,4,4,937,937,61,61
Step,rho_g,rho_p,id,p,deltaG,deltaP
1,2.72803,0.862355,1986,1126,329,104
2,1.58759,1.33212,758,5996,87,73
3,1.73797,1.5508,937,5303,65,58
4,2.44186,2.44186,5996,5996,63,63
5,4.4697,4.4697,1126,1126,59,59
1,2.72803,0.820896,1986,5996,329,99
2,1.58759,1.27737,758,6330,87,70
3,1.81373,1.7402,6880,5996,74,71
4,2.53846,2.53846,1126,1126,66,66
5,4.45312,4.45312,5996,5996,57,57
1,2.72803,0.820896,1986,6330,329,99
2,2.84722,1.00198,3044,1126,287,101
3,3.11414,1.15385,7462,5996,251,93
4,2.56579,2.17105,758,5303,78,66
5,4.01163,3.48837,3283,5996,69,60
1,2.72803,0.820896,1986,6330,329,99
2,1.58759,1.25912,758,5303,87,69
3,1.73797,1.68449,937,5996,65,63
4,2.41935,2.33871,1126,6330,60,58
5,4.39394,4.39394,5303,5303,58,58
1,2.72803,0.820896,1986,5996,329,99
2,1.58759,1.27737,758,6330,87,70
3,1.73797,1.60428,937,6330,65,60
4,2.44094,2.40157,1126,5996,62,61
5,4.39394,4.4697,5303,1126,58,59
1,2.72803,0.820896,1986,5996,329,99
2,2.82738,0.962302,3044,6330,285,97
3,2.00913,1.64384,758,1126,88,72
4,2.40458,2.0229,1126,1986,63,53
5,4.48529,3.82353,6452,6330,61,52
1,2.72803,2.72803,1986,1986,329,329
2,1.58759,1.25912,758,5303,87,69
3,1.73797,1.68449,937,5996,65,63
4,2.41935,2.41935,1126,1126,60,60
5,4.53125,4.45312,6452,6330,58,57
1,2.72803,0.862355,1986,1126,329,104
2,1.58759,1.33212,758,5996,87,73
3,1.86567,1.66667,3044,1126,75,67
4,2.5,2.5,2530,1126,63,63
5,4.28571,3.80952,1126,6330,54,48
1,2.72803,0.862355,1986,1126,329,104
2,1.58759,1.33212,758,5996,87,73
3,1.86567,1.66667,3044,1126,75,67
4,2.5,2.5,6330,5303,67,67
5,5,5,5303,5303,67,67
1,2.72803,0.820896,1986,5996,329,99
2,1.58759,1.33212,758,5996,87,73
3,1.73797,1.60428,937,6330,65,60
4,2.44094,2.44094,1126,1126,62,62
5,4.46154,4.38462,6452,5303,58,57
1,2.72803,0.820896,1986,6330,329,99
2,1.58759,1.27737,758,1126,87,70
3,1.73797,1.68449,937,5996,65,63
4,2.41935,2.41935,1126,1126,60,60
5,4.53125,4.45312,6452,5303,58,57
1,2.72803,0.862355,1986,1126,329,104
2,1.58759,1.27737,758,6330,87,70
3,1.81373,1.7402,6880,5996,74,71
4,2.53846,2.19231,1126,5303,66,57
5,4.10959,4.45205,5996,1126,60,65
1,2.72803,0.820896,1986,5996,329,99
2,1.58759,1.33212,758,5996,87,73
3,1.73797,1.5508,937,5303,65,58
4,2.44186,2.32558,5996,6330,63,60
5,4.4697,4.39394,1126,6330,59,58
1,2.72803,0.862355,1986,5303,329,104
2,1.58759,1.33212,758,5996,87,73
3,1.73797,1.60428,937,6330,65,60
4,2.44094,2.40157,1126,5996,62,61
5,4.46154,4.46154,6452,5996,58,58
1,2.72803,2.72803,1986,1986,329,329
2,1.58759,1.33212,758,5996,87,73
3,1.86567,1.66667,3044,1126,75,67
4,2.5,2.5,2530,1126,63,63
5,4.52381,4.36508,6452,5303,57,55
1,2.72803,0.862355,1986,5303,329,104
2,1.58759,1.27737,758,1126,87,70
3,2.0098,1.66667,3044,5303,82,68
4,2.41803,2.2541,5996,5303,59,55
5,4.52381,4.36508,6452,6330,57,55
1,2.72803,0.862355,1986,5303,329,104
2,1.58759,1.27737,758,6330,87,70
3,1.81373,1.69118,6880,5303,74,69
4,2.59259,2.59259,5996,5996,70,70
5,5,5,1126,1126,65,65
1,2.72803,2.72803,1986,1986,329,329
2,1.58759,1.27737,758,1126,87,70
3,2.0098,1.66667,3044,5303,82,68
4,2.41803,2.2541,5996,5303,59,55
5,4.52381,4.36508,6452,5303,57,55
1,2.72803,0.820896,1986,6330,329,99
2,1.58759,1.25912,758,5303,87,69
3,1.73797,1.5508,937,5303,65,58
4,2.37705,2.04918,2530,5303,58,50
5,3.98438,3.98438,5996,5996,51,51
1,2.72803,0.820896,1986,6330,329,99
2,1.58759,1.27737,758,1126,87,70
3,2.0098,1.66667,3044,5303,82,68
4,2.53676,2.53676,6330,5996,69,69
5,5,5,5996,5996,67,67
1,2.72803,0.820896,1986,5996,329,99
2,2.82738,3.00595,3044,1986,285,303
3,2.00913,2.12329,758,1986,88,93
4,2.5,2.5,2530,1126,63,63
5,4.52381,4.36508,6452,5303,57,55
1,2.72803,0.862355,1986,1126,329,104
2,1.58759,1.33212,758,5996,87,73
3,1.86567,1.69154,3044,5303,75,68
4,2.5,2.22222,2530,6330,63,56
5,4.28571,3.96825,1126,5303,54,50
1,2.72803,2.72803,1986,1986,329,329
2,1.58759,1.25912,758,5303,87,69
3,1.73797,1.68449,937,1126,65,63
4,2.37705,2.29508,2530,1126,58,56
5,3.98438,3.59375,5996,6330,51,46
1,2.72803,0.820896,1986,6330,329,99
2,2.84722,1.00198,3044,1126,287,101
3,1.98157,1.68203,5279,1126,86,73
4,2.53472,2.11806,758,5303,73,61
5,4.09639,4.39759,3283,1986,68,73
1,2.72803,0.862355,1986,5303,329,104
2,1.58759,1.27737,758,6330,87,70
3,1.73797,1.5508,937,5303,65,58
4,2.37705,2.17213,2530,6330,58,53
5,3.98438,3.59375,5996,6330,51,46
1,2.72803,0.862355,1986,1126,329,104
2,1.58759,1.27737,758,6330,87,70
3,1.81373,1.69118,6880,1126,74,69
4,2.53846,2.19231,1126,5303,66,57
5,4.10959,4.45205,5996,1126,60,65
1,2.72803,0.862355,1986,1126,329,104
2,2.88577,2.95591,3044,1986,288,295
3,1.96078,1.71569,758,5996,80,70
4,2.41935,2.37903,5996,6330,60,59
5,4.53125,4.45312,6452,6330,58,57
1,2.72803,2.72803,1986,1986,329,329
2,1.58759,1.27737,758,6330,87,70
3,1.73797,1.68449,937,5996,65,63
4,2.41935,2.33871,1126,5303,60,58
5,4.53125,4.45312,6452,6330,58,57
1,2.72803,0.862355,1986,5303,329,104
2,2.76553,2.94589,3044,1986,276,294
3,1.99552,1.54709,5279,6330,89,69
4,2.35075,2.27612,6452,1126,63,61
5,4.29577,3.94366,1126,6330,61,56
1,2.72803,0.820896,1986,5996,329,99
2,1.58759,1.27737,758,1126,87,70
3,2.0098,1.69118,3044,6330,82,69
4,2.41803,2.41803,5996,5996,59,59
5,4.52381,4.36508,6452,5303,57,55
1,2.72803,0.862355,1986,5303,329,104
2,1.58759,1.25912,758,5303,87,69
3,1.78049,1.7561,3044,5996,73,72
4,2.55639,2.4812,6330,1126,68,66
5,5,5,1126,1126,65,65
1,2.72803,0.862355,1986,1126,329,104
2,1.58759,1.27737,758,1126,87,70
3,1.73797,1.68449,937,5996,65,63
4,2.41935,2.33871,1126,6330,60,58
5,4.53125,4.45312,6452,6330,58,57
1,2.72803,0.862355,1986,1126,329,104
2,1.58759,1.27737,758,6330,87,70
3,1.73797,1.5508,937,5303,65,58
4,2.44186,2.32558,5996,6330,63,60
5,4.4697,4.4697,1126,1126,59,59
1,2.72803,0.862355,1986,5303,329,104
2,1.58759,1.33212,758,5996,87,73
3,1.86567,1.69154,3044,6330,75,68
4,2.55639,2.55639,5303,5303,68,68
5,5,5,1126,1126,65,65
1,2.72803,2.72803,1986,1986,329,329
2,1.58759,1.27737,758,6330,87,70
3,1.81373,1.69118,6880,1126,74,69
4,2.59259,2.51852,3044,5996,70,68
5,5,5,5303,5303,67,67
1,2.72803,0.862355,1986,1126,329,104
2,1.58759,1.27737,758,1126,87,70
3,2.0098,1.66667,3044,5303,82,68
4,2.53676,2.53676,6330,5996,69,69
5,4.85075,5,1645,6330,65,67
1,2.72803,0.820896,1986,6330,329,99
2,1.58759,1.33212,758,5996,87,73
3,1.86567,1.69154,3044,5303,75,68
4,2.5,2.22222,2530,5303,63,56
5,4.28571,3.80952,1126,6330,54,48
1,2.72803,2.72803,1986,1986,329,329
2,1.58759,1.27737,758,1126,87,70
3,1.73797,1.60428,937,6330,65,60
4,2.37705,2.17213,2530,6330,58,53
5,3.98551,3.62319,1126,5303,55,50
1,2.72803,0.820896,1986,5996,329,99
2,2.82738,0.992063,3044,1126,285,100
3,2.00913,1.52968,758,6330,88,67
4,2.40458,2.0229,1126,1986,63,53
5,3.52564,3.20513,2530,5303,55,50
1,2.72803,0.862355,1986,5303,329,104
2,2.76553,1.01202,3044,1126,276,101
3,1.99552,2.04036,5279,1986,89,91
4,2.35075,1.75373,6452,1986,63,47
5,3.33333,3.21839,2530,1126,58,56
1,2.72803,0.862355,1986,5303,329,104
2,1.58759,1.25912,758,5303,87,69
3,1.78049,1.7561,3044,5996,73,72
4,2.55639,2.4812,6330,1126,68,66
5,5,5,1126,1126,65,65
1,2.72803,0.862355,1986,1126,329,104
2,1.58759,1.27737,758,6330,87,70
3,1.81373,1.7402,6880,5996,74,71
4,2.53846,2.53846,1126,1126,66,66
5,4.45312,4.375,5996,5303,57,56
1,2.72803,2.72803,1986,1986,329,329
2,1.58759,1.25912,758,5303,87,69
3,1.78049,1.7561,3044,5996,73,72
4,2.55639,2.55639,6330,6330,68,68
5,5,5,1126,1126,65,65
1,2.72803,0.862355,1986,1126,329,104
2,1.58759,1.27737,758,1126,87,70
3,2.0098,1.66667,3044,5303,82,68
4,2.41803,2.2541,5996,5303,59,55
5,4.25373,4.25373,6330,6330,57,57
1,2.72803,2.72803,1986,1986,329,329
2,1.58759,1.27737,758,6330,87,70
3,1.73797,1.60428,937,6330,65,60
4,2.44094,2.44094,1126,1126,62,62
5,4.46154,4.38462,6452,5303,58,57
1,2.72803,0.862355,1986,1126,329,104
2,1.58759,1.27737,758,1126,87,70
3,2.0098,1.66667,3044,5303,82,68
4,2.41803,2.41803,5996,5996,59,59
5,4.52381,4.36508,6452,5303,57,55
1,2.72803,2.72803,1986,1986,329,329
2,1.58759,1.33212,758,5996,87,73
3,1.86567,1.69154,3044,5303,75,68
4,2.55639,2.55639,6330,6330,68,68
5,5,5,1126,1126,65,65
1,2.72803,2.72803,1986,1986,329,329
2,1.58759,1.33212,758,5996,87,73
3,1.73797,1.68449,937,5996,65,63
4,2.37705,2.17213,2530,6330,58,53
5,3.98551,3.98551,1126,1126,55,55
1,2.72803,0.862355,1986,1126,329,104
2,1.58759,1.27737,758,6330,87,70
3,1.73797,1.68449,937,5996,65,63
4,2.37705,2.04918,2530,5303,58,50
5,3.88889,3.88889,5996,5996,56,56
1,2.72803,0.862355,1986,1126,329,104
2,2.88577,0.961924,3044,6330,288,96
3,3.11414,1.24069,7462,5303,251,100
4,2.56579,2.56579,758,1986,78,78
5,4.12162,3.51351,1645,5996,61,52
Step,rho_g,rho_p,id,p,deltaG,deltaP
1,2.95952,0.935532,1986,1126,329,104
2,3.06927,1.12966,3044,1645,288,106
3,1.87636,1.33091,758,5303,86,61
4,1.96825,1.65079,6452,1986,62,52
5,2.7874,2.64567,3283,5996,59,56
6,4.56338,4.22535,2386,6330,54,50
1,2.95952,0.935532,1986,1126,329,104
2,1.54438,1.2426,758,1126,87,70
3,1.83582,1.52239,3044,5303,82,68
4,2.07,2.07,6330,5996,69,69
5,2.9771,2.9771,1645,1645,65,65
6,5.45455,6,6452,6330,60,66
1,2.95952,2.95952,1986,1986,329,329
2,1.54438,1.2426,758,1126,87,70
3,1.83582,1.56716,3044,5996,82,70
4,2.0303,2.0303,6330,1645,67,67
5,2.9771,2.9771,5303,5303,65,65
6,5.45455,6,6452,6330,60,66
1,2.95952,0.962519,1986,1645,329,107
2,1.54438,1.2426,758,1126,87,70
3,1.83582,1.56716,3044,1645,82,70
4,2.06061,2.0303,6330,5996,68,67
5,2.9771,2.9771,5303,5303,65,65
6,5.45455,6,6452,6330,60,66
1,2.95952,0.935532,1986,1126,329,104
2,1.54438,1.22485,758,5303,87,69
3,1.55378,1.43426,937,6330,65,60
4,1.94764,1.82199,1126,5303,62,58
5,2.69767,2.69767,6452,1645,58,58
6,4.73239,4.64789,5303,5996,56,55
1,2.95952,0.890555,1986,6330,329,99
2,1.54438,1.29586,758,5996,87,73
3,1.69811,1.53962,3044,6330,75,68
4,1.98947,1.76842,2530,5303,63,56
5,2.55118,2.26772,1126,6330,54,48
6,3.79747,3.64557,6452,1645,50,48
1,2.95952,0.890555,1986,5996,329,99
2,1.54438,1.22485,758,5303,87,69
3,1.55378,1.43426,937,6330,65,60
4,1.94764,1.82199,1126,5303,62,58
5,2.75188,2.75188,5996,1126,61,61
6,4.75,4.75,1645,1645,57,57
1,2.95952,0.890555,1986,5996,329,99
2,3.01056,3.2007,3044,1986,285,303
3,1.86572,1.33569,758,5303,88,63
4,2.07273,1.77273,5279,1645,76,65
5,2.70968,2.55484,1126,6330,70,66
6,4.51685,4.31461,3019,1986,67,64
1,2.95952,2.95952,1986,1986,329,329
2,1.54438,1.22485,758,5303,87,69
3,1.62825,1.53903,3044,1126,73,69
4,1.9898,1.77551,1126,6330,65,58
5,2.70229,2.70229,5996,5996,59,59
6,4.58333,4.5,6452,1645,55,54
1,2.95952,2.95952,1986,1986,329,329
2,1.54438,1.2426,758,1645,87,70
3,1.55378,1.41036,937,1645,65,59
4,1.96875,1.84375,1126,6330,63,59
